original_text,text,character,sentiment,confidence
im girl caleb loveanddeepspace lads xiayizhou fyp,im girl caleb loveanddeepspace lads xiayizhou fyp,Caleb,NEGATIVE,0.6519359350204468
def care bout yo bodiesfyp,def care bout yo bodiesfyp,Caleb,NEGATIVE,0.8321320414543152
loveanddeepspace lads adsedit loveanddeepspaceedit caleb calebedit edit edits funny caleb calebloveanddeepspace calebedits typ typofficial,loveanddeepspace lads adsedit loveanddeepspaceedit caleb calebedit edit edits funny caleb calebloveanddeepspace calebedits typ typofficial,Caleb,NEGATIVE,0.7786157131195068
capcut always kid named caleb,capcut always kid named caleb,Caleb,NEGATIVE,0.7124834060668945
caleb left go home today gonna miss man calebrock,caleb left go home today gonna miss man calebrock,Caleb,NEGATIVE,0.98273104429245
im caleb life kinda crazy,im caleb life kinda crazy,Caleb,NEGATIVE,0.8902892470359802
greenscreen go follow therealcalebmclaughlin foryou calebmclaughlin tiktokaccount active strangerthings,greenscreen go follow therealcalebmclaughlin foryou calebmclaughlin tiktokaccount active strangerthings,Caleb,NEGATIVE,0.9917160868644714
well,well,Caleb,POSITIVE,0.9995703101158142
imagine mc hanging caleb friends usually goes loveanddeepspace lads caleb calebloveanddeepspace fyp foryoupage,imagine mc hanging caleb friends usually goes loveanddeepspace lads caleb calebloveanddeepspace fyp foryoupage,Caleb,NEGATIVE,0.8890669345855713
caleb names prononciation story usa uk,caleb names prononciation story usa uk,Caleb,POSITIVE,0.6602646708488464
icu asthma childloss childrenlove,icu asthma childloss childrenlove,Caleb,NEGATIVE,0.9960363507270813
lets js hope likes back fyp relateable fy zyxcba xybca viral caleb,lets js hope likes back fyp relateable fy zyxcba xybca viral caleb,Caleb,POSITIVE,0.9466069340705872
caleb cc ditraxz spc jeannseditz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,caleb cc ditraxz spc jeannseditz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,Caleb,NEGATIVE,0.8485459089279175
caleb play day foryoupage foryou explore son life fyp fyp tiktok funnyvideos fypviral funny foryoupage boymom humor latina,caleb play day foryoupage foryou explore son life fyp fyp tiktok funnyvideos fypviral funny foryoupage boymom humor latina,Caleb,POSITIVE,0.9923457503318787
