original_text,processed_text,sentiment,confidence
infold pls restuin q dgn ayel,infold pls restuin q dgn ayel,NEGATIVE,0.9730119109153748
I keep coming back to this 😭,i keep coming back to this loudly crying face,NEGATIVE,0.9978569149971008
"""Put this on Spotify pleaseeeee"" 
Me who uses Youtube Music cannot relate. :')",put this on spotify pleaseeeee me who uses youtube music cannot relate,NEGATIVE,0.9930022358894348
Si have you considered Spotify,si have you considered spotify,POSITIVE,0.9726390242576599
still waiting for a spotify release pleaseee,still waiting for a spotify release pleaseee,POSITIVE,0.7321446537971497
KAPAN RILIS DISPOTIFY WOYYY😭😭😭,kapan rilis dispotify woyyyloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9973481893539429
Omy i've been looking for this song.. Love it,omy ive been looking for this song love it,POSITIVE,0.9988419413566589
AHHHHH I NEED THIS ON SPOTIFYYYYYYYYY,ahhhhh i need this on spotifyyyyyyyyy,NEGATIVE,0.99118971824646
"Spring and Flowers | Spring Event Soundtrack | 2025 | Love and DeepSpace
https://youtu.be/HnldzckRG0E",spring and flowers spring event soundtrack 2025 love and deepspace,POSITIVE,0.9993984699249268
Went on spotify searching for this song and it's not there. this is so sick...,went on spotify searching for this song and its not there this is so sick,NEGATIVE,0.9980541467666626
PLS HAVE THIS ONNSPOTIFY.. I BEG,pls have this onnspotify i beg,NEGATIVE,0.9894970655441284
"Aku sanggup jika harus memutar lagu ini sebulan penuh, lagu nya begitu indah begitu juga liriknya, aku suka semuaa ❤❤❤❤❤❤",aku sanggup jika harus memutar lagu ini sebulan penuh lagu nya begitu indah begitu juga liriknya aku suka semuaa red heartred heartred heartred heartred heartred heart,POSITIVE,0.8453053832054138
I'm guessing this is going to be on the second album since they haven't released it yet.,im guessing this is going to be on the second album since they havent released it yet,NEGATIVE,0.9729113578796387
"add this in spotify please and the instrumental version too. thank you!
i can imagine mc singing this, sylus on piano, caleb on drums, xavier and zayne on guitar, and rafayel the one who sponsor everything.",add this in spotify please and the instrumental version too thank you i can imagine mc singing this sylus on piano caleb on drums xavier and zayne on guitar and rafayel the one who sponsor everything,POSITIVE,0.9972743391990662
Love the song.,love the song,POSITIVE,0.9998782873153687
I LOVE THIS SOGN MAKES ME FEEL WARM AND FUZZY,i love this sogn makes me feel warm and fuzzy,POSITIVE,0.9998799562454224
I need this on spotify!!!!,i need this on spotify,NEGATIVE,0.9466119408607483
Cepetan rilis global 😢,cepetan rilis global crying face,NEGATIVE,0.9946464896202087
Suka banget sama lagu ini😭😭🫵,suka banget sama lagu iniloudly crying faceloudly crying faceindex pointing at the viewer,NEGATIVE,0.9955043196678162
This song feels like tinkerbell! In a good way btw ❤,this song feels like tinkerbell in a good way btw red heart,POSITIVE,0.9995142221450806
xavier on piano bcuz silvery polyphony exists,xavier on piano bcuz silvery polyphony exists,POSITIVE,0.97240149974823
Even after the event ended in still listening to this,even after the event ended in still listening to this,NEGATIVE,0.85933917760849
put this on spotify NOW (please),put this on spotify now please,POSITIVE,0.992857813835144
Please! I thought this was on Spotify already 🥹,please i thought this was on spotify already face holding back tears,NEGATIVE,0.9868692755699158
Similar to winx club musics 😻,similar to winx club musics smiling cat with hearteyes,POSITIVE,0.9920504689216614
I NEED THIS ON SPOTIFY LIKE YESTERDAY 😭😭😭,i need this on spotify like yesterday loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9974370002746582
SPOTIFY,spotify,POSITIVE,0.9860828518867493
the best OST of LaDS,the best ost of lads,POSITIVE,0.9998257756233215
Up up omggg this is so good❤❤❤❤,up up omggg this is so goodred heartred heartred heartred heart,POSITIVE,0.9995228052139282
Hi,hi,POSITIVE,0.9983267188072205
Is it just me losing my mind for loving this song too much or it really is Loren Allred singing😭 Infold please give me an answer😭,is it just me losing my mind for loving this song too much or it really is loren allred singingloudly crying face infold please give me an answerloudly crying face,NEGATIVE,0.9988358616828918
Make it on SPOTIFY!!!! PLEASE❤,make it on spotify pleasered heart,POSITIVE,0.9995976090431213
Pleeeease!!! We need this song on Spotify!!!! Pleeeease!!!!!!🙏,pleeeease we need this song on spotify pleeeeasefolded hands,NEGATIVE,0.9944103360176086
I really love this song. Is there a chance it will be released on iTunes or other platforms?,i really love this song is there a chance it will be released on itunes or other platforms,POSITIVE,0.9996969699859619
The first thing I bought with the event currency was this BGM it’s so GOOD,the first thing i bought with the event currency was this bgm its so good,POSITIVE,0.9783902168273926
This song makes me so happy ❤❤❤❤,this song makes me so happy red heartred heartred heartred heart,POSITIVE,0.9998338222503662
"Who else cries in this song, because I do idk why!",who else cries in this song because i do idk why,NEGATIVE,0.9822891354560852
"I love this song so much, I've been listening to it nonstop. It's the only theme I have in the café and in the photobooth too. It´s so beautiful and refreshing. Truly as spring",i love this song so much ive been listening to it nonstop its the only theme i have in the café and in the photobooth too its so beautiful and refreshing truly as spring,POSITIVE,0.9997860789299011
Anyone else keeps coming back to this song? I'm still here even though the event is over 🥺💙,anyone else keeps coming back to this song im still here even though the event is over pleading faceblue heart,NEGATIVE,0.9483603835105896
OMG WHEN ON SPOTIFY 😭,omg when on spotify loudly crying face,NEGATIVE,0.9974155426025391
Can this available in Apple Store😭💖💖💖💖💖💖💖💖💖💖💖,can this available in apple storeloudly crying facesparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heartsparkling heart,POSITIVE,0.9927444458007812
sameee ✋😫💖,sameee raised handtired facesparkling heart,POSITIVE,0.9877753257751465
me too,me too,POSITIVE,0.990517795085907
Same. I'm addicted to this and I found a ai cover of zayne singing this. Both are on repeat,same im addicted to this and i found a ai cover of zayne singing this both are on repeat,NEGATIVE,0.9337899684906006
"​ @Choishinhyun Ah, nice! I might look for some AI covers too... my main is Sylus though, so I'm not sure if it would actually sound good 😂🙈",ah nice i might look for some ai covers too my main is sylus though so im not sure if it would actually sound good face with tears of joyseenoevil monkey,NEGATIVE,0.7164496779441833
does anyone know the singer?,does anyone know the singer,NEGATIVE,0.9949082732200623
please put this song in spotify❤❤❤,please put this song in spotifyred heartred heartred heart,POSITIVE,0.9986867308616638
please update the spotify 😭💞🌸,please update the spotify loudly crying facerevolving heartscherry blossom,NEGATIVE,0.996159553527832
already miss this event 😢,already miss this event crying face,NEGATIVE,0.9991422891616821
Respectfully asking Infold to put this on Spotify 🙏🏼,respectfully asking infold to put this on spotify folded hands mediumlight skin tone,NEGATIVE,0.974454939365387
My favourite ❤,my favourite red heart,POSITIVE,0.9993053674697876
"I'm here to ask/to plead Infold, Please add this one to streaming platform like spotify. We've been waiting for it. Hope everything doing fine with the deal to add this ost.

Most of us(the players) really loves Spring and Flowers❤",im here to askto plead infold please add this one to streaming platform like spotify weve been waiting for it hope everything doing fine with the deal to add this ost most of usthe players really loves spring and flowersred heart,POSITIVE,0.6873171925544739
I need these good vibes after the story update. OOooh my shayla 😭,i need these good vibes after the story update ooooh my shayla loudly crying face,NEGATIVE,0.9961877465248108
Everyones saying barbie but im thinking this sound is reminicent of 2010s kdrama osts for romcoms LOL,everyones saying barbie but im thinking this sound is reminicent of 2010s kdrama osts for romcoms lol,NEGATIVE,0.9952455163002014
THIS IS SO GOOD???❤,this is so goodred heart,POSITIVE,0.999880313873291
PUT IT IN SPOTIFY PLEAASEE PLEASEEEE PLEASEEEE🙏🙏🙏🙏💗💖💖💖💝💝,put it in spotify pleaasee pleaseeee pleaseeeefolded handsfolded handsfolded handsfolded handsgrowing heartsparkling heartsparkling heartsparkling heartheart with ribbonheart with ribbon,POSITIVE,0.9906157851219177
hey so let's put this on spotify now !!,hey so lets put this on spotify now,POSITIVE,0.9634491205215454
need this on apple music,need this on apple music,NEGATIVE,0.9545537829399109
This song's so pretty! 285k view!wow🎉😮,this songs so pretty 285k viewwowparty popperface with open mouth,NEGATIVE,0.8716626763343811
NEED THIS ON SPOTIFY PLSSSSS,need this on spotify plsssss,NEGATIVE,0.9952946305274963
I love this song. 😭,i love this song loudly crying face,POSITIVE,0.997562050819397
Using this song to be my alarm made me want to continue my dream journey w them. Hehe...,using this song to be my alarm made me want to continue my dream journey w them hehe,POSITIVE,0.9941567182540894
Its like a disney princess movie song PLSPSLSPLS I NEED IT ON SPOTIFYYY,its like a disney princess movie song plspslspls i need it on spotifyyy,NEGATIVE,0.846489429473877
Spotify plssss,spotify plssss,NEGATIVE,0.9711174964904785
i need this song on spotify!!! i love this song so much,i need this song on spotify i love this song so much,POSITIVE,0.9995459914207458
Love this so much!,love this so much,POSITIVE,0.9998819828033447
i hope it has a karaoke version😭🫶🏻✨,i hope it has a karaoke versionloudly crying faceheart hands light skin tonesparkles,NEGATIVE,0.9699360132217407
🥰❤️,smiling face with heartsred heart,POSITIVE,0.9998733997344971
I'm addicted to this song😭,im addicted to this songloudly crying face,NEGATIVE,0.9831151366233826
Day 1533647 of asking you to put this on Spotify 😭😭😭,day 1533647 of asking you to put this on spotify loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9982935786247253
🧡🩵💜🤍❤,orange heartlight blue heartpurple heartwhite heartred heart,POSITIVE,0.9990065693855286
"Its giving Barbie ""Diamond castle"" vibe and i love it soo much! ❤ i hope they kept making these kind of songs in the future",its giving barbie diamond castle vibe and i love it soo much red heart i hope they kept making these kind of songs in the future,POSITIVE,0.999755322933197
Literally my new favorite LaD song,literally my new favorite lad song,POSITIVE,0.9975475668907166
i love this,i love this,POSITIVE,0.9998819828033447
"Please upload on Spotify 2:32 
Please please 🥺",please upload on spotify 232 please please pleading face,NEGATIVE,0.9783222079277039
need to spotify please!,need to spotify please,NEGATIVE,0.7322529554367065
So it's not just me feelings the song like a Barbie's song 😭︎‪‪‪‪‪💞,so its not just me feelings the song like a barbies song loudly crying facerevolving hearts,NEGATIVE,0.9986199140548706
Eu preciso tanto dessa música no spotify,eu preciso tanto dessa música no spotify,NEGATIVE,0.9978680610656738
this song is good 😫 i don't think i'll ever change my bgm,this song is good tired face i dont think ill ever change my bgm,NEGATIVE,0.7477489113807678
I've put this song on continuous repeat in the game. I love it. Please i need it on Spotify!!!! ❤❤❤❤❤,ive put this song on continuous repeat in the game i love it please i need it on spotify red heartred heartred heartred heartred heart,POSITIVE,0.9983764886856079
Omg thank you!! Waiting for it to be added spotify! Thiis song is like floating in a field of flowers!,omg thank you waiting for it to be added spotify thiis song is like floating in a field of flowers,POSITIVE,0.9991581439971924
Add in spotify plsssssssssss 😢😢😢,add in spotify plsssssssssss crying facecrying facecrying face,NEGATIVE,0.9939447045326233
KAPAN ADA DI SPOTIFY😭😭😭,kapan ada di spotifyloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9927576780319214
"this is so taylor swift love story-coded

whoever the vocalist is I LOVE YOU GIRL",this is so taylor swift love storycoded whoever the vocalist is i love you girl,POSITIVE,0.5993714928627014
i swear this song is giving me Barbie and the diamond castle movie😭😭,i swear this song is giving me barbie and the diamond castle movieloudly crying faceloudly crying face,NEGATIVE,0.9958539009094238
RELEASE IT ON SPOTIFYYYYY!!!!,release it on spotifyyyyy,POSITIVE,0.9366967082023621
I need this on spotify i beg u 😭😭,i need this on spotify i beg u loudly crying faceloudly crying face,NEGATIVE,0.9971422553062439
cuz of this song my hand suddenly moved to click wish (unconsciously)😇😇,cuz of this song my hand suddenly moved to click wish unconsciouslysmiling face with halosmiling face with halo,NEGATIVE,0.9892194867134094
This is such a beautiful song 🎶,this is such a beautiful song musical notes,POSITIVE,0.9998574256896973
"This is actually soo good, i would stay on the homepage(?) Just to listen to this song while leaving my boys in silent..!!!",this is actually soo good i would stay on the homepage just to listen to this song while leaving my boys in silent,POSITIVE,0.7252909541130066
PUT IT ON SPOTIFY PLEASEEEE,put it on spotify pleaseeee,POSITIVE,0.9897375702857971
I need this on Spotify 🤌😩,i need this on spotify pinched fingersweary face,NEGATIVE,0.9960451722145081
