original_text,text,character,sentiment,confidence
sylus please lord sylus loveanddeepspace loveanddeepspaceedit sylusloveanddeepspaceedit love deep space new multi banner wedding banner sylus wedding banner,sylus please lord sylus loveanddeepspace loveanddeepspaceedit sylusloveanddeepspaceedit love deep space new multi banner wedding banner sylus wedding banner,Sylus,POSITIVE,0.9963560104370117
need biker sylus loveanddeepspace sylus sylusloveanddeepspace loveanddeepspaceedit sylusedit fyp,need biker sylus loveanddeepspace sylus sylusloveanddeepspace loveanddeepspaceedit sylusedit fyp,Sylus,NEGATIVE,0.9773558378219604
im alive sylus loveanddeepspace loveanddeepspacegame fyp fypviral foryou,im alive sylus loveanddeepspace loveanddeepspacegame fyp fypviral foryou,Sylus,POSITIVE,0.9683400392532349
relax sylus sylusloveanddeepspace sylusedit zayne loveanddeepspace loveanddeepspaceedit booktok darkromance crimsonravenedit capcutedit love deepspace,relax sylus sylusloveanddeepspace sylusedit zayne loveanddeepspace loveanddeepspaceedit booktok darkromance crimsonravenedit capcutedit love deepspace,Sylus,NEGATIVE,0.878800094127655
engaged finally getting married loveanddeepspace sylus sylusloveanddeepspace fyp,engaged finally getting married loveanddeepspace sylus sylusloveanddeepspace fyp,Sylus,NEGATIVE,0.6449013948440552
sylus innocent birdcage part finding nibbles ear freaking hair wayyyyyy loveanddeepspace loveanddeepspaceedit sylusloveanddeepspace sylus sylusedit,sylus innocent birdcage part finding nibbles ear freaking hair wayyyyyy loveanddeepspace loveanddeepspaceedit sylusloveanddeepspace sylus sylusedit,Sylus,POSITIVE,0.855143129825592
gonna cry hard card see loveanddeepspace lads sylus loveanddeepspacesylus,gonna cry hard card see loveanddeepspace lads sylus loveanddeepspacesylus,Sylus,NEGATIVE,0.6309781074523926
sylus 21th birthday kinda nervous scp grandiseiya clairdelalune yt animation xhs loveanddeepspace sylusloveanddeepspace sylusedit fyp,sylus 21th birthday kinda nervous scp grandiseiya clairdelalune yt animation xhs loveanddeepspace sylusloveanddeepspace sylusedit fyp,Sylus,NEGATIVE,0.9806323051452637
im biggest art hater sylus loveanddeepspace sylusmc,im biggest art hater sylus loveanddeepspace sylusmc,Sylus,NEGATIVE,0.992179274559021
still processing trailer dragon getting wedding sylus sylusloveanddeepspace sylusedit loveanddeepspace fyp tiktok lads viral otome otomegame loveanddeepspaceedit foryou trending foryoupage anime,still processing trailer dragon getting wedding sylus sylusloveanddeepspace sylusedit loveanddeepspace fyp tiktok lads viral otome otomegame loveanddeepspaceedit foryou trending foryoupage anime,Sylus,NEGATIVE,0.9802026748657227
say yes without hesitation sylus sylusedit loveanddeepspace loveanddeepspaceedit sylusloveanddeepspace loveanddeepspacesylus loveanddeepspacecharacters otomegame foryou,say yes without hesitation sylus sylusedit loveanddeepspace loveanddeepspaceedit sylusloveanddeepspace loveanddeepspacesylus loveanddeepspacecharacters otomegame foryou,Sylus,POSITIVE,0.8693972229957581
credits xiaohongshu sylus sylusedit loveanddeepspace loveanddeepspaceedit otome cosplay,credits xiaohongshu sylus sylusedit loveanddeepspace loveanddeepspaceedit otome cosplay,Sylus,POSITIVE,0.6029646396636963
sylus mom im married ac millssaudios loveanddeepspace sylusloveanddeepspace sylusedit fyp,sylus mom im married ac millssaudios loveanddeepspace sylusloveanddeepspace sylusedit fyp,Sylus,NEGATIVE,0.9374719858169556
big dragon dreaming us making biscuits im getting much cuteness aggression syluss beautiful sleeping face id stare hours sylus sylusedit sylusloveanddeepspace loveanddeepspacesylus ind lads loveanddeepspace loveanddeepspaceedit edit otome otomegame fy fyp foryoupage viral sleep sleeping caleb zayne rafayel xavier calebloveanddeepspace zayneloveanddeepspace rafayelloveanddeepspace xavierloveanddeepspace,big dragon dreaming us making biscuits im getting much cuteness aggression syluss beautiful sleeping face id stare hours sylus sylusedit sylusloveanddeepspace loveanddeepspacesylus ind lads loveanddeepspace loveanddeepspaceedit edit otome otomegame fy fyp foryoupage viral sleep sleeping caleb zayne rafayel xavier calebloveanddeepspace zayneloveanddeepspace rafayelloveanddeepspace xavierloveanddeepspace,Sylus,NEGATIVE,0.9606284499168396
